large_category_code,representative_source_code,representative_source_name,resolved_representative_code,resolved_representative_name,small_category_code,canonical_name,source_small_codes,reason
09,09014,돼지고기,09014,돼지고기,090140081,갈비,090140081|090140032,K-FIND 세부 분류를 소비자가 사용하는 돼지고기 갈비 단위로 통합
09,09014,돼지고기,09014,돼지고기,090140010,뒷다리,090140010|090140022|090140023|090140024|090140025|090140026|090140027,K-FIND 세부 분류를 돼지고기 뒷다리 단위로 통합
09,09014,돼지고기,09014,돼지고기,090140083,등심,090140083|090140028|090140065|090140029,K-FIND 세부 분류를 돼지고기 등심 단위로 통합
09,09014,돼지고기,09014,돼지고기,090140084,목심,090140084,돼지고기 목심은 독립적인 구매·조리 부위
09,09014,돼지고기,09014,돼지고기,090140085,사태,090140085|090140030,돼지고기 사태 관련 세부 분류를 사태 단위로 통합
09,09014,돼지고기,09014,돼지고기,090140066,삼겹살,090140066|090140012|090140031|090140033|090140034,돼지고기 삼겹살 관련 세부 분류를 삼겹살 단위로 통합
09,09014,돼지고기,09014,돼지고기,090140087,안심,090140087,돼지고기 안심은 독립적인 구매·조리 부위
09,09014,돼지고기,09014,돼지고기,090140088,앞다리,090140088|090140089|090140092|090140094|090140093|090140036|090140035,돼지고기 앞다리 관련 세부 분류를 앞다리 단위로 통합
09,09027,소고기,09027,소고기,090270181,갈비,090270181|090270381|090270481|090270681|090270781|090270881|090270437|090270637|090270737|090270837|090270438|090270638|090270738|090270838|090270439|090270639|090270739|090270839|090270440|090270640|090270740|090270840|090270441|090270641|090270741|090270841|090270442|090270642|090270742|090270842,소고기 갈비와 세부 갈비 부위를 갈비 단위로 통합하고 등급은 관측값으로 취급
09,09027,소고기,09027,소고기,090270383,등심,090270383|090270483|090270583|090270683|090270783|090270883|090270443|090270643|090270743|090270843|090270444|090270644|090270744|090270844|090270445|090270645|090270745|090270845|090270446|090270646|090270746|090270846,소고기 등심과 세부 등심 부위를 등심 단위로 통합하고 등급은 관측값으로 취급
09,09027,소고기,09027,소고기,090270184,목심,090270184|090270484|090270584|090270684|090270784|090270884,소고기 목심과 등급별 관측을 목심 단위로 통합
09,09027,소고기,09027,소고기,090270185,사태,090270185|090270485|090270685|090270785|090270885|090270447|090270647|090270747|090270847|090270448|090270648|090270748|090270848|090270449|090270649|090270749|090270849|090270450|090270650|090270750|090270850|090270451|090270651|090270751|090270851,소고기 사태와 세부 사태 부위를 사태 단위로 통합
09,09027,소고기,09027,소고기,090270113,설도,090270113|090270413|090270613|090270713|090270813|090270452|090270652|090270752|090270852|090270414|090270514|090270614|090270714|090270814|090270453|090270653|090270753|090270853|090270454|090270654|090270754|090270854|090270415|090270515|090270615|090270715|090270815,소고기 설도와 세부 설도 부위를 설도 단위로 통합
09,09027,소고기,09027,소고기,090270187,안심,090270187|090270487|090270687|090270787|090270887,소고기 안심과 등급별 관측을 안심 단위로 통합
09,09027,소고기,09027,소고기,090270488,앞다리,090270488|090270688|090270788|090270888|090270455|090270655|090270755|090270855|090270489|090270589|090270689|090270789|090270889|090270456|090270656|090270756|090270856|090270492|090270692|090270792|090270892|090270493|090270693|090270793|090270893,소고기 앞다리와 세부 앞다리 부위를 앞다리 단위로 통합
09,09027,소고기,09027,소고기,090270318,양지,090270318|090270418|090270618|090270718|090270818|090270457|090270657|090270757|090270857|090270419|090270519|090270619|090270719|090270819|090270420|090270520|090270620|090270720|090270820|090270458|090270658|090270758|090270858|090270459|090270659|090270759|090270859|090270460|090270660|090270760|090270860|090270461|090270661|090270761|090270861,소고기 양지와 세부 양지 부위를 양지 단위로 통합
09,09027,소고기,09027,소고기,090270462,우둔,090270462|090270662|090270762|090270862|090270416|090270516|090270616|090270716|090270816|090270417|090270517|090270617|090270717|090270817,소고기 우둔과 세부 우둔 부위를 우둔 단위로 통합
09,09027,소고기,09027,소고기,090270391,채끝,090270391|090270491|090270591|090270691|090270791|090270891,소고기 채끝과 등급별 관측을 채끝 단위로 통합
09,09008,닭고기,09008,닭고기,090080404,가슴,090080404|090080005,닭고기 가슴과 껍질 제거 관측을 가슴 단위로 통합
09,09008,닭고기,09008,닭고기,090080006,날개,090080006|090080406,닭고기 날개와 품종별 관측을 날개 단위로 통합
09,09008,닭고기,09008,닭고기,090080007,넓적다리,090080007,닭고기 넓적다리는 독립적인 구매·조리 부위
09,09008,닭고기,09008,닭고기,090080482,다리,090080482,닭고기 다리는 독립적인 구매·조리 부위
09,09008,닭고기,09008,닭고기,090080011,목,090080011,닭고기 목은 독립적인 구매·조리 부위
09,09008,닭고기,09008,닭고기,090080063,아랫다리,090080063,닭고기 아랫다리는 독립적인 구매·조리 부위
09,09008,닭고기,09008,닭고기,090080475,껍질,090080475,닭고기 껍질은 독립적인 구매·조리 부위
09,09037,어린양고기,09037,어린양고기,090370181,갈비,090370181,어린양고기 갈비는 독립적인 구매·조리 부위
09,09037,어린양고기,09037,어린양고기,090370182,다리,090370182,어린양고기 다리는 독립적인 구매·조리 부위
09,09037,어린양고기,09037,어린양고기,090370190,어깨,090370190,어린양고기 어깨는 독립적인 구매·조리 부위
09,09036,양고기,09036,양고기,090360182,다리,090360182,양고기 다리는 독립적인 구매·조리 부위
